涨幅最大股票代码,真实Close_涨幅最大,预测Close_涨幅最大,涨跌幅_最大,涨幅最小股票代码,真实Close_涨幅最小,预测Close_涨幅最小,涨跌幅_最小
300442,45.8,50.166996002197266,9.53492576898967,600010,1.79,1.3570902347564697,-24.184903086230744
688169,191.28,205.77235412597656,7.576513031146257,601868,2.24,1.8341772556304932,-18.11708680221013
300122,19.85,21.305801391601562,7.334012048370584,601916,3.01,2.5957605838775635,-13.762106847921473
300628,33.07,35.34396743774414,6.876224486677171,601618,2.95,2.5811846256256104,-12.502216080487791
688599,13.21,14.096109390258789,6.70786820786365,600515,3.53,3.1666643619537354,-10.292794278931003
2475,31.61,33.5985107421875,6.290764764908259,601818,3.81,3.4254133701324463,-10.094137266864928
300274,58.82,62.190086364746094,5.729490589503729,630,3.16,2.8420603275299072,-10.061382040192814
600309,56.05,59.22903823852539,5.671789899242451,600115,3.72,3.3596041202545166,-9.68806128348074
2241,21.04,22.173892974853516,5.389225165653596,3816,3.53,3.1967546939849854,-9.440376940935254
300394,70.24,73.9635238647461,5.301144454365176,600016,3.95,3.584455728530884,-9.254285353648516
